id	wav_path	ref	hyp_large_am	hyp_large_total	am_large	lm_large	cons_large	hyp_ccnn_am	hyp_ccnn_total	am_ccnn	lm_ccnn	cons_ccnn
00033e7a6c	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/1cec5/00033e7a6c.wav	धेरै धन्यवाद	धेरै धन्यवाद	धेरै धन्यवाद	-0.30178019404411316	-1.9083087627704327	-8.35927675797603e-09	धेरै धन्यवाद	धेरै धन्यवाद	-0.2977210581302643	-1.9083087627704327	-8.35927675797603e-09
000414cbb9	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/1a81b/000414cbb9.wav	थप आकर्षण हुन्	थप आकर्षण हुन्	थप आकर्षण हुन्	-0.29478803277015686	-2.265965779622396	-1.0435580103755152e-08	थप आकर्षण हुन्	थप आकर्षण हुन्	-0.2774927020072937	-2.265965779622396	-1.0435580103755152e-08
00062958ef	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/7f577/00062958ef.wav	भाग लिन थाले	भाग लिन थाले	भाग लिन थाले	-0.31567367911338806	-2.121013934795673	-1.2986728191977957e-07	भाग लिन थाले	भाग लिन थाले	-0.3064614236354828	-2.121013934795673	-1.2986728191977957e-07
00097747cd	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/93014/00097747cd.wav	गिँडेर ममता	घिँडे र ममता	घिँडे र ममता	-0.37476494908332825	-2.654072981614333	-1.7755102010873647	घिँडेर ममता	घिँडेर ममता	-0.3687606751918793	-2.790858586629232	-1.9234695434570312
00180ecd4a	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/5a9c4/00180ecd4a.wav	विकी सायद त्यै	विकि साय	विकि साय	-0.3263983726501465	-2.6236044565836587	-2.7771582406583343e-07	विकि साय	विकि साय	-0.30986088514328003	-2.6236044565836587	-2.7771582406583343e-07
001aafcee1	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/421cb/001aafcee1.wav	भारतको राष्ट्रिय हिन्दी	भारतको राष्ट्रिय हिन्दी	भारतको राष्ट्रिय हिन्दी	-0.2934785485267639	-1.2227490743001301	-5.001418609632916e-07	भारतको राष्ट्रिय हिन्दी	भारतको राष्ट्रिय हिन्दी	-0.2637122869491577	-1.2227490743001301	-5.001418609632916e-07
001ca0ce21	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/5045d/001ca0ce21.wav	बसेको हुन्छ	बसेको हुन्छ	बसेको हुन्छ	-0.3287675678730011	-1.2806994120279949	-2.5881647047754086e-08	बसेको हुन्छ	बसेको हुन्छ	-0.2926084101200104	-1.2806994120279949	-2.5881647047754086e-08
001d884c4a	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/541e4/001d884c4a.wav	अनि तिनका अर्थहरूका	अनि तिनका अर्थहरूका	अनि तिनका अर्थहरूका	-0.3187091052532196	-1.692446517944336	-7.77725631451176e-08	अनि तिनका अर्थहरूका	अनि तिनका अर्थहरूका	-0.32505425810813904	-1.692446517944336	-7.77725631451176e-08
0021bc4fcb	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/02e40/0021bc4fcb.wav	आमा री वन	आमा रिवन	आमा रिवन	-0.36586514115333557	-2.81439208984375	-1.7155629292473248e-07	आमा रिवन	आमा रिवन	-0.35648033022880554	-2.81439208984375	-1.7155629292473248e-07
0023f1da75	/home/is/r-ghimire/speechain/datasets/slr54nepaliasr/data/wav16000/test/c09aa/0023f1da75.wav	विस्तारित गरिए पछि	विस्तारित गरिए पछि	विस्तारित गरिए पछि	-0.30808714032173157	-1.636618463616622	-7.68439672595521e-08	विस्तारित गरिए पछि	विस्तारित गरिए पछि	-0.3021930754184723	-1.636618463616622	-7.68439672595521e-08
